Line 257: net 0 | total 0
Line 278: net 1 | total 1
Line 279: net 1 | total 2
Line 281: net 1 | total 3
Line 282: net 1 | total 4
Line 283: net 1 | total 5
Line 284: net 1 | total 6
Line 288: net -1 | total 5
Line 289: net 1 | total 6
Line 290: net 1 | total 7
Line 292: net -1 | total 6
Line 294: net -1 | total 5
Line 295: net -1 | total 4
Line 298: net 1 | total 5
Line 329: net -1 | total 4
Line 330: net -1 | total 3
Line 332: net 1 | total 4
Line 334: net 1 | total 5
Line 342: net 1 | total 6
Line 346: net -1 | total 5
Line 347: net -1 | total 4
Line 350: net 1 | total 5
Line 366: net 1 | total 6
Line 369: net 1 | total 7
Line 370: net 0 | total 7
Line 371: net -1 | total 6
Line 372: net 1 | total 7
Line 382: net -1 | total 6
Line 384: net 1 | total 7
Line 387: net -1 | total 6
Line 390: net 1 | total 7
Line 395: net -1 | total 6
Line 398: net 0 | total 6
Line 401: net 1 | total 7
Line 402: net 0 | total 7
Line 403: net -1 | total 6
Line 404: net 1 | total 7
Line 414: net -1 | total 6
Line 419: net 0 | total 6
Line 420: net 1 | total 7
Line 421: net 0 | total 7
Line 422: net -1 | total 6
Line 423: net 1 | total 7
Line 433: net -1 | total 6
Line 440: net 0 | total 6
Line 441: net 1 | total 7
Line 442: net 0 | total 7
Line 443: net -1 | total 6
Line 444: net 1 | total 7
Line 454: net -1 | total 6
Line 461: net 0 | total 6
Line 462: net 1 | total 7
Line 475: net -1 | total 6
Line 478: net -1 | total 5
Line 480: net -1 | total 4
Line 484: net 1 | total 5
Line 486: net -1 | total 4
Line 488: net 1 | total 5
Line 505: net 1 | total 6
Line 506: net 1 | total 7
Line 510: net -1 | total 6
Line 520: net -1 | total 5
Line 531: net 1 | total 6
Line 539: net -1 | total 5
Line 544: net 1 | total 6
Line 577: net -1 | total 5
Line 599: net 1 | total 6
Line 600: net 1 | total 7
Line 604: net -1 | total 6
Line 614: net -1 | total 5
Line 642: net -1 | total 4
Line 644: net 1 | total 5
Line 645: net 1 | total 6
Line 647: net -1 | total 5
Line 648: net 1 | total 6
Line 686: net -1 | total 5
Line 687: net -1 | total 4
Line 688: net -1 | total 3
Line 691: net 1 | total 4
Line 692: net 1 | total 5
Line 693: net 1 | total 6
Line 698: net -1 | total 5
Line 700: net 1 | total 6
Line 701: net 1 | total 7
Line 703: net 1 | total 8
Line 707: net -1 | total 7
Line 708: net -1 | total 6
Line 710: net 1 | total 7
Line 711: net 1 | total 8
Line 714: net -1 | total 7
Line 715: net 1 | total 8
Line 718: net -1 | total 7
Line 719: net 1 | total 8
Line 722: net -1 | total 7
Line 723: net -1 | total 6
Line 737: net 0 | total 6
Line 738: net 0 | total 6
Line 747: net 1 | total 7
Line 748: net 1 | total 8
Line 751: net -1 | total 7
Line 752: net -1 | total 6
Line 754: net 1 | total 7
Line 758: net -1 | total 6
Line 759: net -1 | total 5
Line 761: net 1 | total 6
Line 776: net -1 | total 5
Line 777: net -1 | total 4
Line 778: net -1 | total 3
Line 783: net 1 | total 4
Line 784: net 1 | total 5
Line 785: net 1 | total 6
Line 786: net 1 | total 7
Line 792: net -1 | total 6
Line 799: net 1 | total 7
Line 813: net -1 | total 6
Line 814: net -1 | total 5
Line 815: net -1 | total 4
Line 816: net -1 | total 3
Line 818: net -1 | total 2
